keys,ja
GAME_TITLE,サッカー選手育成ゲーム
NEW_GAME,新規ゲーム
CONTINUE,続ける
SETTINGS,設定
QUIT,終了
LANGUAGE,言語
SELECT_LANGUAGE,言語選択
TRAINING,トレーニング
MATCH,試合
STATS,ステータス
NEXT_WEEK,次の週
WEEK,週
YEAR,年
CONDITION_EXCELLENT,絶好調
CONDITION_GOOD,好調
CONDITION_AVERAGE,普通
CONDITION_POOR,不調
CONDITION_TERRIBLE,絶不調
TRAINING_PHYSICAL,フィジカルトレーニング
TRAINING_TECHNICAL,テクニカルトレーニング
TRAINING_TACTICAL,戦術トレーニング
TRAINING_MENTAL,メンタルトレーニング
TRAINING_ENDURANCE,持久力
TRAINING_STRENGTH,筋力
TRAINING_SPEED,スピード
TRAINING_AGILITY,敏捷性
TRAINING_RECOVERY,回復
TRAINING_BALL_CONTROL,ボールコントロール
TRAINING_PASSING,パス
TRAINING_SHOOTING,シュート
TRAINING_CROSSING,クロス
TRAINING_SET_PIECES,セットピース
PLAYER_NAME,選手名
POSITION,ポジション
GOALKEEPER,ゴールキーパー
DEFENDER,ディフェンダー
MIDFIELDER,ミッドフィールダー
FORWARD,フォワード
SAVE_GAME,セーブ
LOAD_GAME,ロード
BACK,戻る
CONFIRM,確認
CANCEL,キャンセル
YES,はい
NO,いいえ