keys,zh
GAME_TITLE,足球运动员培养游戏
NEW_GAME,新游戏
CONTINUE,继续
SETTINGS,设置
QUIT,退出
LANGUAGE,语言
SELECT_LANGUAGE,选择语言
TRAINING,训练
MATCH,比赛
STATS,属性
NEXT_WEEK,下周
WEEK,周
YEAR,年
CONDITION_EXCELLENT,绝佳状态
CONDITION_GOOD,良好状态
CONDITION_AVERAGE,普通状态
CONDITION_POOR,低迷状态
CONDITION_TERRIBLE,糟糕状态
TRAINING_PHYSICAL,体能训练
TRAINING_TECHNICAL,技术训练
TRAINING_TACTICAL,战术训练
TRAINING_MENTAL,心理训练
TRAINING_ENDURANCE,耐力
TRAINING_STRENGTH,力量
TRAINING_SPEED,速度
TRAINING_AGILITY,敏捷
TRAINING_RECOVERY,恢复
TRAINING_BALL_CONTROL,球控制
TRAINING_PASSING,传球
TRAINING_SHOOTING,射门
TRAINING_CROSSING,传中
TRAINING_SET_PIECES,定位球
PLAYER_NAME,球员姓名
POSITION,位置
GOALKEEPER,守门员
DEFENDER,后卫
MIDFIELDER,中场
FORWARD,前锋
SAVE_GAME,保存
LOAD_GAME,载入
BACK,返回
CONFIRM,确认
CANCEL,取消
YES,是
NO,否